county_code,county_name,constituency_code,constituency_name,ward_code,ward_name
1,Mombasa,1,Changamwe,1,Port Reitz
1,Mombasa,1,Changamwe,2,Kipevu
1,Mombasa,1,Changamwe,3,Airport
1,Mombasa,1,Changamwe,4,Changamwe
1,Mombasa,1,Changamwe,5,Chaani
1,Mombasa,2,Jomvu,6,Jomvu Kuu
1,Mombasa,2,Jomvu,7,Miritini
1,Mombasa,2,Jomvu,8,Mikindani
1,Mombasa,3,Kisauni,9,Mjambere
1,Mombasa,3,Kisauni,10,Junda
1,Mombasa,3,Kisauni,11,Bamburi
1,Mombasa,3,Kisauni,12,Mwakirunge
1,Mombasa,3,Kisauni,13,Mtopanga
1,Mombasa,3,Kisauni,14,Magogoni
1,Mombasa,3,Kisauni,15,Shanzu
1,Mombasa,4,Nyali,16,Frere Town
1,Mombasa,4,Nyali,17,Ziwa La Ng'ombe
1,Mombasa,4,Nyali,18,Mkomani
1,Mombasa,4,Nyali,19,Kongowea
1,Mombasa,4,Nyali,20,Kadzandani
1,Mombasa,5,Likoni,21,Mtongwe
1,Mombasa,5,Likoni,22,Shika Adabu
1,Mombasa,5,Likoni,23,Bofu
1,Mombasa,5,Likoni,24,Likoni
1,Mombasa,5,Likoni,25,Timbwani
1,Mombasa,6,Mvita,26,Mji Wa Kale/Makadara
1,Mombasa,6,Mvita,27,Tudor
1,Mombasa,6,Mvita,28,Tononoka
1,Mombasa,6,Mvita,29,Shimanzi/Ganjoni
1,Mombasa,6,Mvita,30,Majengo
2,Kwale,7,Msambweni,31,Gombatobongwe
2,Kwale,7,Msambweni,32,Ukunda
2,Kwale,7,Msambweni,33,Kinondo
2,Kwale,7,Msambweni,34,Ramisi
2,Kwale,8,Lungalunga,35,Pongwekikoneni
2,Kwale,8,Lungalunga,36,Dzombo
2,Kwale,8,Lungalunga,37,Mwereni
2,Kwale,8,Lungalunga,38,Vanga
2,Kwale,9,Matuga,39,Tsimba Golini
2,Kwale,9,Matuga,40,Waa
2,Kwale,9,Matuga,41,Tiwi
2,Kwale,9,Matuga,42,Kubo South
2,Kwale,9,Matuga,43,Mkongani
2,Kwale,10,Kinango,44,Nadavaya
2,Kwale,10,Kinango,45,Puma
2,Kwale,10,Kinango,46,Kinango
2,Kwale,10,Kinango,47,Mackinnon-Road
2,Kwale,10,Kinango,48,Chengoni/Samburu
2,Kwale,10,Kinango,49,Mwavumbo
2,Kwale,10,Kinango,50,Kasemeni
3,Kilifi,11,Kilifi North,51,Tezo
3,Kilifi,11,Kilifi North,52,Sokoni
3,Kilifi,11,Kilifi North,53,Kibarani
3,Kilifi,11,Kilifi North,54,Dabaso
3,Kilifi,11,Kilifi North,55,Matsangoni
3,Kilifi,11,Kilifi North,56,Watamu
3,Kilifi,11,Kilifi North,57,Mnarani
3,Kilifi,12,Kilifi South,58,Junju
3,Kilifi,12,Kilifi South,59,Mwarakaya
3,Kilifi,12,Kilifi South,60,Shimo La Tewa
3,Kilifi,12,Kilifi South,61,Chasimba
3,Kilifi,12,Kilifi South,62,Mtepeni
3,Kilifi,13,Kaloleni,63,Mariakani
3,Kilifi,13,Kaloleni,64,Kayafungo
3,Kilifi,13,Kaloleni,65,Kaloleni
3,Kilifi,13,Kaloleni,66,Mwanamwinga
3,Kilifi,14,Rabai,67,Mwawesa
3,Kilifi,14,Rabai,68,Ruruma
3,Kilifi,14,Rabai,69,Kambe/Ribe
3,Kilifi,14,Rabai,70,Rabai/Kisurutini
3,Kilifi,15,Ganze,71,Ganze
3,Kilifi,15,Ganze,72,Bamba
3,Kilifi,15,Ganze,73,Jaribuni
3,Kilifi,15,Ganze,74,Sokoke
3,Kilifi,16,Malindi,75,Jilore
3,Kilifi,16,Malindi,76,Kakuyuni
3,Kilifi,16,Malindi,77,Ganda
3,Kilifi,16,Malindi,78,Malindi Town
3,Kilifi,16,Malindi,79,Shella
3,Kilifi,17,Magarini,80,Marafa
3,Kilifi,17,Magarini,81,Magarini
3,Kilifi,17,Magarini,82,Gongoni
3,Kilifi,17,Magarini,83,Adu
3,Kilifi,17,Magarini,84,Garashi
3,Kilifi,17,Magarini,85,Sabaki
4,Tana River,18,Garsen,86,Kipini East
4,Tana River,18,Garsen,87,Garsen South
4,Tana River,18,Garsen,88,Kipini West
4,Tana River,18,Garsen,89,Garsen Central
4,Tana River,18,Garsen,90,Garsen West
4,Tana River,18,Garsen,91,Garsen North
4,Tana River,19,Galole,92,Kinakomba
4,Tana River,19,Galole,93,Mikinduni
4,Tana River,19,Galole,94,Chewani
4,Tana River,19,Galole,95,Wayu
4,Tana River,20,Bura,96,Chewele
4,Tana River,20,Bura,97,Bura
4,Tana River,20,Bura,98,Bangale
4,Tana River,20,Bura,99,Sala
4,Tana River,20,Bura,100,Madogo
5,Lamu,21,Lamu East,101,Faza
5,Lamu,21,Lamu East,102,Kiunga
5,Lamu,21,Lamu East,103,Basuba
5,Lamu,22,Lamu West,104,Shella
5,Lamu,22,Lamu West,105,Mkomani
5,Lamu,22,Lamu West,106,Hindi
5,Lamu,22,Lamu West,107,Mkunumbi
5,Lamu,22,Lamu West,108,Hongwe
5,Lamu,22,Lamu West,109,Witu
5,Lamu,22,Lamu West,110,Bahari
6,Taita Taveta,23,Taveta,111,Chala
6,Taita Taveta,23,Taveta,112,Mahoo
6,Taita Taveta,23,Taveta,113,Bomeni
6,Taita Taveta,23,Taveta,114,Mboghoni
6,Taita Taveta,23,Taveta,115,Mata
6,Taita Taveta,24,Wundanyi,116,Wundanyi/Mbale
6,Taita Taveta,24,Wundanyi,117,Werugha
6,Taita Taveta,24,Wundanyi,118,Wumingu/Kishushe
6,Taita Taveta,24,Wundanyi,119,Mwanda/Mgange
6,Taita Taveta,25,Mwatate,120,Rong'e
6,Taita Taveta,25,Mwatate,121,Mwatate
6,Taita Taveta,25,Mwatate,122,Bura
6,Taita Taveta,25,Mwatate,123,Chawia
6,Taita Taveta,25,Mwatate,124,Wusi/Kishamba
6,Taita Taveta,26,Voi,125,Mbololo
6,Taita Taveta,26,Voi,126,Sagalla
6,Taita Taveta,26,Voi,127,Kaloleni
6,Taita Taveta,26,Voi,128,Marungu
6,Taita Taveta,26,Voi,129,Kasigau
6,Taita Taveta,26,Voi,130,Ngolia
7,Garissa,27,Garissa Township,131,Waberi
7,Garissa,27,Garissa Township,132,Galbet
7,Garissa,27,Garissa Township,133,Township
7,Garissa,27,Garissa Township,134,Iftin
7,Garissa,28,Balambala,135,Balambala
7,Garissa,28,Balambala,136,Danyere
7,Garissa,28,Balambala,137,Jara Jara
7,Garissa,28,Balambala,138,Saka
7,Garissa,28,Balambala,139,Sankuri
7,Garissa,29,Lagdera,140,Modogashe
7,Garissa,29,Lagdera,141,Benane
7,Garissa,29,Lagdera,142,Goreale
7,Garissa,29,Lagdera,143,Maalimin
7,Garissa,29,Lagdera,144,Sabena
7,Garissa,29,Lagdera,145,Baraki
7,Garissa,30,Dadaab,146,Dertu
7,Garissa,30,Dadaab,147,Dadaab
7,Garissa,30,Dadaab,148,Labasigale
7,Garissa,30,Dadaab,149,Damajale
7,Garissa,30,Dadaab,150,Liboi
7,Garissa,30,Dadaab,151,Abakaile
7,Garissa,31,Fafi,152,Bura
7,Garissa,31,Fafi,153,Dekaharia
7,Garissa,31,Fafi,154,Jarajila
7,Garissa,31,Fafi,155,Fafi
7,Garissa,31,Fafi,156,Nanighi
7,Garissa,32,Ijara,157,Hulugho
7,Garissa,32,Ijara,158,Sangailu
7,Garissa,32,Ijara,159,Ijara
7,Garissa,32,Ijara,160,Masalani
8,Wajir,33,Wajir North,161,Gurar
8,Wajir,33,Wajir North,162,Bute
8,Wajir,33,Wajir North,163,Korondile
8,Wajir,33,Wajir North,164,Malkagufu
8,Wajir,33,Wajir North,165,Batalu
8,Wajir,33,Wajir North,166,Danaba
8,Wajir,33,Wajir North,167,Godoma
8,Wajir,34,Wajir East,168,Wagberi
8,Wajir,34,Wajir East,169,Township
8,Wajir,34,Wajir East,170,Barwago
8,Wajir,34,Wajir East,171,Khorof/Harar
8,Wajir,35,Tarbaj,172,Elben
8,Wajir,35,Tarbaj,173,Sarman
8,Wajir,35,Tarbaj,174,Tarbaj
8,Wajir,35,Tarbaj,175,Wargadud
8,Wajir,36,Wajir West,176,Arbajahan
8,Wajir,36,Wajir West,177,Hadado/Athibohol
8,Wajir,36,Wajir West,178,Ademasajide
8,Wajir,36,Wajir West,179,Wagalla/Ganyure
8,Wajir,37,Eldas,180,Eldas
8,Wajir,37,Eldas,181,Della
8,Wajir,37,Eldas,182,Lakoley South/Basir
8,Wajir,37,Eldas,183,Elnur/Tula Tula
8,Wajir,38,Wajir South,184,Benane
8,Wajir,38,Wajir South,185,Burder
8,Wajir,38,Wajir South,186,Dadaja Bulla
8,Wajir,38,Wajir South,187,Habasswein
8,Wajir,38,Wajir South,188,Lagboghol South
8,Wajir,38,Wajir South,189,Ibrahim Ure
8,Wajir,38,Wajir South,190,Diif
9,Mandera,39,Mandera West,191,Takaba South
9,Mandera,39,Mandera West,192,Takaba
9,Mandera,39,Mandera West,193,Lag Sure
9,Mandera,39,Mandera West,194,Dandu
9,Mandera,39,Mandera West,195,Gither
9,Mandera,40,Banissa,196,Banissa
9,Mandera,40,Banissa,197,Derkhale
9,Mandera,40,Banissa,198,Guba
9,Mandera,40,Banissa,199,Malkamari
9,Mandera,40,Banissa,200,Kiliwehiri
9,Mandera,41,Mandera North,201,Ashabito
9,Mandera,41,Mandera North,202,Guticha
9,Mandera,41,Mandera North,203,Morothile
9,Mandera,41,Mandera North,204,Rhamu
9,Mandera,41,Mandera North,205,Rhamu-Dimtu
9,Mandera,42,Mandera South,206,Wargudud
